Gain DAC	Relative gain
588	3.52818293977835
589	3.53481824357384
590	3.54146891092643
591	3.54813497962888
592	3.55481648747399
593	3.56151347225453
594	3.56822597176327
595	3.57495402379298
596	3.58169766613646
597	3.58845693658646
598	3.59523187293577
599	3.60202251297717
600	3.60882889450343
601	3.61565105530733
602	3.62248903318164
603	3.62934286591914
604	3.6362125913126
605	3.64309824715481
606	3.64999987123854
607	3.65691750135657
608	3.66385117530166
609	3.67080093086661
610	3.67776680584418
611	3.68474883802715
612	3.6917470652083
613	3.6987615251804
614	3.70579225573623
615	3.71283929466857
616	3.71990267977019
617	3.72698244883388
618	3.73407863965239
619	3.74119129001852
620	3.74832043772504
621	3.75546612056472
622	3.76262837633035
623	3.76980724281469
624	3.77700275781053
625	3.78421495911063
626	3.79144388450779
627	3.79868957179476
628	3.80595205876434
629	3.81323138320929
630	3.82052758292239
631	3.82784069569643
632	3.83517075932417
633	3.84251781159838
634	3.84988189031186
635	3.85726303325737
636	3.86466127822769
637	3.8720766630156
638	3.87950922541387
639	3.88695900321528
640	3.89442603421261
641	3.90191035619863
642	3.90941200696612
643	3.91693102430785
644	3.92446744601661
645	3.93202130988516
646	3.93959265370629
647	3.94718151527276
648	3.95478793237737
649	3.96241194281288
650	3.97005358437207
651	3.97771289484771
652	3.98538991203259
653	3.99308467371947
654	4.00079721770114
655	4.00852758177037
656	4.01627580371995
657	4.02404192134263
658	4.0318259724312
659	4.03962799477845
660	4.04744802617713
661	4.05528610442004
662	4.06314226729994
663	4.07101655260962
664	4.07890899814184
665	4.08681964168939
666	4.09474852104504
667	4.10269567400157
668	4.11066113835175
669	4.11864495188836
670	4.12664715240419
671	4.13466777769199
672	4.14270686554455
673	4.15076445375466
674	4.15884058011507
675	4.16693528241857
676	4.17504859845794
677	4.18318056602595
678	4.19133122291538
679	4.199500606919
680	4.2076887558296
681	4.21589570743994
682	4.22412149954281
683	4.23236616993097
684	4.24062975639721
685	4.24891229673431
686	4.25721382873503
